occupation,employment_variants,employment_norm,wage
"Camera Operators, Television, Video, and Film",22970,69.6060606060606,49230.0
"Camera and Photographic Equipment Repairers",2120,6.42424242424242,38200.0
"Captains, Mates, and Pilots of Water Vessels",34940,105.878787878788,81640.0
"Cardiovascular Technologists and Technicians",55750,168.939393939394,60570.0
"Career/Technical Education Teachers, Middle School",11110,33.6666666666667,61820.0
"Career/Technical Education Teachers, Postsecondary",103100,312.424242424242,59840.0
"Career/Technical Education Teachers, Secondary School",88280,267.515151515152,61820.0
"Cargo and Freight Agents",46740,141.636363636364,46910.0
Carpenters,689770,2090.21212121212,48260.0
"Carpet Installers",17400,52.7272727272727,46640.0
"Cartographers and Photogrammetrists",13270,40.2121212121212,68900.0
Cashiers,3296040,9988.0,27260.0
"Cement Masons and Concrete Finishers",196730,596.151515151515,47340.0
"Chefs and Head Cooks",160190,485.424242424242,50160.0
"Chemical Engineers",20380,61.7575757575758,105550.0
"Chemical Equipment Operators and Tenders",115370,349.606060606061,48090.0
"Chemical Plant and System Operators",18710,56.6969696969697,70200.0
"Chemical Technicians",56030,169.787878787879,48990.0
"Chemistry Teachers, Postsecondary",20650,62.5757575757576,79410.0
Chemists,83940,254.363636363636,79430.0
"Chief Executives",99620,301.878787878788,179520.0
"Chief Sustainability Officers",99620,301.878787878788,179520.0
"Child, Family, and School Social Workers",344770,1044.75757575758,49150.0
"Childcare Workers",229730,696.151515151515,27490.0
Chiropractors,37740,114.363636363636,75000.0
Choreographers,5400,16.3636363636364,42700.0
"Civil Engineering Technologists and Technicians",62350,188.939393939394,58320.0
"Civil Engineers",102523,310.675757575758,88050.0
"Claims Adjusters, Examiners, and Investigators",285270,864.454545454545,65080.0
"Cleaners of Vehicles and Equipment",359530,1089.48484848485,29280.0
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",13200,40.0,35090.0
Clergy,53140,161.030303030303,49720.0
"Climate Change Policy Analysts",19317,58.5363636363636,76530.0
"Clinical Data Managers",79815,241.863636363636,100910.0
"Clinical Nurse Specialists",614540,1862.24242424242,77600.0
"Clinical Research Coordinators",27523,83.4030303030303,137900.0
"Clinical and Counseling Psychologists",62880,190.545454545455,82510.0
"Coaches and Scouts",218970,663.545454545455,38970.0
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",152120,460.969696969697,39130.0
"Coil Winders, Tapers, and Finishers",10860,32.9090909090909,38360.0
"Coin, Vending, and Amusement Machine Servicers and Repairers",35790,108.454545454545,39040.0
"Commercial Divers",3860,11.6969696969697,60360.0
"Commercial Pilots",48750,147.727272727273,99640.0
"Commercial and Industrial Designers",30450,92.2727272727273,77030.0
"Communications Teachers, Postsecondary",27350,82.8787878787879,77560.0
"Community Health Workers",61300,185.757575757576,46590.0
"Compensation and Benefits Managers",16850,51.0606060606061,127530.0
"Compensation, Benefits, and Job Analysis Specialists",93550,283.484848484848,64120.0
"Compliance Managers",90548,274.387878787879,124650.0
"Compliance Officers",51377,155.687878787879,71650.0
"Computer Hardware Engineers",74640,226.181818181818,128170.0
"Computer Network Architects",86960,263.515151515152,120520.0
"Computer Network Support Specialists",168920,511.878787878788,62760.0
"Computer Numerically Controlled Tool Operators",179360,543.515151515152,46640.0
"Computer Numerically Controlled Tool Programmers",28120,85.2121212121212,60780.0
"Computer Programmers",132740,402.242424242424,93000.0
"Computer Science Teachers, Postsecondary",33870,102.636363636364,77910.0
"Computer Systems Analysts",252605,765.469696969697,99270.0
"Computer Systems Engineers/Architects",83264,252.315151515152,95270.0
"Computer User Support Specialists",696830,2111.60606060606,49770.0
"Computer and Information Research Scientists",33780,102.363636363636,131490.0
"Computer and Information Systems Managers",533220,1615.81818181818,159010.0
"Computer, Automated Teller, and Office Machine Repairers",81440,246.787878787879,40970.0
Concierges,37600,113.939393939394,35210.0
"Conservation Scientists",7626,23.1090909090909,63750.0
"Construction Laborers",1012780,3069.0303030303,37770.0
"Construction Managers",303220,918.848484848485,98890.0
"Construction and Building Inspectors",64475,195.378787878788,61640.0
"Continuous Mining Machine Operators",13500,40.9090909090909,60300.0
"Control and Valve Installers and Repairers, Except Mechanical Door",46410,140.636363636364,62760.0
"Conveyor Operators and Tenders",27780,84.1818181818182,36420.0
"Cooks, Fast Food",725590,2198.75757575758,24180.0
"Cooks, Institution and Cafeteria",417780,1266.0,29910.0
"Cooks, Private Household",610,1.84848484848485,42920.0
"Cooks, Restaurant",1321480,4004.48484848485,30010.0
"Cooks, Short Order",133290,403.909090909091,28560.0
"Cooling and Freezing Equipment Operators and Tenders",6420,19.4545454545455,40390.0
Coroners,51377,155.687878787879,71650.0
"Correctional Officers and Jailers",363250,1100.75757575758,47920.0
"Correspondence Clerks",4970,15.0606060606061,37920.0
"Cost Estimators",225310,682.757575757576,65170.0
"Costume Attendants",5730,17.3636363636364,47850.0
"Counter and Rental Clerks",370770,1123.54545454545,31330.0
"Couriers and Messengers",75800,229.69696969697,33050.0
"Court Reporters and Simultaneous Captioners",14240,43.1515151515151,60380.0
"Court, Municipal, and License Clerks",159760,484.121212121212,44610.0
"Craft Artists",4760,14.4242424242424,35930.0
"Crane and Tower Operators",45210,137.0,62240.0
"Credit Analysts",71960,218.060606060606,77440.0
"Credit Authorizers, Checkers, and Clerks",16290,49.3636363636364,44710.0
"Credit Counselors",29090,88.1515151515152,47580.0
"Criminal Justice and Law Enforcement Teachers, Postsecondary",13900,42.1212121212121,64600.0
"Critical Care Nurses",614540,1862.24242424242,77600.0
"Crossing Guards and Flaggers",91270,276.575757575758,31450.0
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",27320,82.7878787878788,38760.0
Curators,11620,35.2121212121212,60110.0
"Customer Service Representatives",2879840,8726.78787878788,36920.0
"Customs Brokers",51377,155.687878787879,71650.0
"Customs and Border Protection Officers",327945,993.772727272727,64610.0
"Cutters and Trimmers, Hand",8250,25.0,30230.0
"Cutting and Slicing Machine Setters, Operators, and Tenders",54110,163.969696969697,37810.0
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",182460,552.909090909091,37630.0
"Cytogenetic Technologists",111833,338.887878787879,57800.0
Cytotechnologists,111833,338.887878787879,57800.0
Dancers,8930,27.0606060606061,39062.0
"Data Entry Keyers",157380,476.909090909091,35630.0
"Data Warehousing Specialists",31235,94.6515151515152,123430.0
"Database Administrators",80520,244.0,96710.0
"Database Architects",31235,94.6515151515152,123430.0
"Demonstrators and Product Promoters",43410,131.545454545455,32350.0
"Dental Assistants",363880,1102.66666666667,38660.0
"Dental Hygienists",214700,650.606060606061,77810.0
"Dental Laboratory Technicians",33330,101.0,45770.0
"Dentists, General",120740,365.878787878788,160370.0
Dermatologists,11640,35.2727272727273,208000.0
"Derrick Operators, Oil and Gas",10950,33.1818181818182,47230.0
"Desktop Publishers",6560,19.8787878787879,46910.0
"Detectives and Criminal Investigators",35800,108.484848484848,83640.0
"Diagnostic Medical Sonographers",81080,245.69696969697,77740.0
"Dietetic Technicians",19690,59.6666666666667,29520.0
"Dietitians and Nutritionists",69880,211.757575757576,61650.0
"Dining Room and Cafeteria Attendants and Bartender Helpers",439770,1332.63636363636,27170.0
"Directors, Religious Activities and Education",24030,72.8181818181818,46980.0
Dishwashers,431840,1308.60606060606,28130.0
"Dispatchers, Except Police, Fire, and Ambulance",206370,625.363636363636,44050.0
"Document Management Specialists",83264,252.315151515152,95270.0
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",8640,26.1818181818182,29390.0
"Dredge Operators",940,2.84848484848485,46210.0
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6470,19.6060606060606,38580.0
"Driver/Sales Workers",489510,1483.36363636364,29280.0
"Drywall and Ceiling Tile Installers",91590,277.545454545455,48040.0
"Earth Drillers, Except Oil and Gas",19010,57.6060606060606,48250.0
"Economics Teachers, Postsecondary",11640,35.2727272727273,104940.0
Economists,8185,24.8030303030303,105630.0
Editors,101430,307.363636363636,63350.0
"Education Administrators, Kindergarten through Secondary",285910,866.393939393939,98420.0
"Education Administrators, Postsecondary",167060,506.242424242424,96910.0
"Education Teachers, Postsecondary",58280,176.606060606061,63910.0
"Education and Childcare Administrators, Preschool and Daycare",60010,181.848484848485,47310.0
"Educational, Guidance, and Career Counselors and Advisors",308000,933.333333333333,60510.0
"Electric Motor, Power Tool, and Related Repairers",15390,46.6363636363636,46910.0
"Electrical Engineers",182210,552.151515151515,100420.0
"Electrical Power-Line Installers and Repairers",119510,362.151515151515,78310.0
"Electrical and Electronic Engineering Technologists and Technicians",99050,300.151515151515,63640.0
"Electrical and Electronic Equipment Assemblers",284800,863.030303030303,37460.0
"Electrical and Electronics Drafters",20930,63.4242424242424,61510.0
"Electrical and Electronics Installers and Repairers, Transportation Equipment",8530,25.8484848484848,77250.0
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",51650,156.515151515152,61730.0
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",25440,77.0909090909091,93420.0
Electricians,690050,2091.06060606061,60040.0
"Electro-Mechanical and Mechatronics Technologists and Technicians",7270,22.030303030303,60360.0
"Electromechanical Equipment Assemblers",279500,846.969696969697,37460.0
"Electronic Equipment Installers and Repairers, Motor Vehicles",9450,28.6363636363636,40670.0
"Electronics Engineers, Except Computer",53320,161.575757575758,104820.0
"Elementary School Teachers, Except Special Education",1394200,4224.84848484848,61400.0
"Elevator and Escalator Installers and Repairers",24380,73.8787878787879,97860.0
"Eligibility Interviewers, Government Programs",149760,453.818181818182,47420.0
Embalmers,3950,11.969696969697,47780.0
"Emergency Management Directors",11290,34.2121212121212,76730.0
"Endoscopy Technicians",53585,162.378787878788,37740.0
"Energy Auditors",64475,195.378787878788,61640.0
"Energy Engineers, Except Wind and Solar",18802,56.9757575757576,100640.0
"Engine and Other Machine Assemblers",50120,151.878787878788,47440.0
"Engineering Teachers, Postsecondary",36010,109.121212121212,104940.0
"English Language and Literature Teachers, Postsecondary",57680,174.787878787879,75930.0
"Environmental Compliance Inspectors",51377,155.687878787879,71650.0
"Environmental Economists",8185,24.8030303030303,105630.0
"Environmental Engineering Technologists and Technicians",13400,40.6060606060606,48390.0
"Environmental Engineers",45440,137.69696969697,96820.0
"Environmental Restoration Planners",19317,58.5363636363636,76530.0
"Environmental Science Teachers, Postsecondary",6240,18.9090909090909,81980.0
"Environmental Science and Protection Technicians, Including Health",33920,102.787878787879,47370.0
"Environmental Scientists and Specialists, Including Health",19317,58.5363636363636,76530.0
Epidemiologists,9430,28.5757575757576,78830.0
"Equal Opportunity Representatives and Officers",51377,155.687878787879,71650.0
"Etchers and Engravers",8400,25.4545454545455,36590.0
"Excavating and Loading Machine and Dragline Operators, Surface Mining",33670,102.030303030303,46740.0
"Executive Secretaries and Executive Administrative Assistants",475240,1440.12121212121,62060.0
"Exercise Physiologists",6580,19.9393939393939,47940.0
"Exercise Trainers and Group Fitness Instructors",250540,759.212121212121,40700.0
"Explosives Workers, Ordnance Handling Experts, and Blasters",4710,14.2727272727273,53040.0
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",63490,192.393939393939,37750.0
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",14460,43.8181818181818,37550.0
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",58740,178.0,37660.0
"Fabric and Apparel Patternmakers",3070,9.3030303030303,58650.0
Fallers,4530,13.7272727272727,47700.0
"Family Medicine Physicians",100940,305.878787878788,208000.0
"Family and Consumer Sciences Teachers, Postsecondary",2420,7.33333333333333,79630.0
"Farm Equipment Mechanics and Service Technicians",35280,106.909090909091,46910.0
"Farm Labor Contractors",550,1.66666666666667,47770.0
"Farm and Home Management Educators",8220,24.9090909090909,49990.0
"Farmers, Ranchers, and Other Agricultural Managers",6250,18.9393939393939,73060.0
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",284000,860.606060606061,29630.0
"Farmworkers, Farm, Ranch, and Aquacultural Animals",33020,100.060606060606,29630.0
"Fashion Designers",20560,62.3030303030303,77450.0
"Fast Food and Counter Workers",1662525,5037.95454545455,25100.0
"Fence Erectors",27060,82.0,37700.0
"Fiberglass Laminators and Fabricators",21910,66.3939393939394,37650.0
"File Clerks",87250,264.393939393939,36360.0
"Film and Video Editors",32080,97.2121212121212,62680.0
"Financial Examiners",63370,192.030303030303,81410.0
"Financial Managers",246926,748.260606060606,131710.0
"Financial Quantitative Analysts",63510,192.454545454545,73240.0
"Fine Artists, Including Painters, Sculptors, and Illustrators",12080,36.6060606060606,60820.0
"Fire Inspectors and Investigators",14510,43.969696969697,64600.0
"Fire-Prevention and Protection Engineers",10760,32.6060606060606,99040.0
Firefighters,321450,974.090909090909,50700.0
"First-Line Supervisors of Construction Trades and Extraction Workers",360450,1092.27272727273,72010.0
"First-Line Supervisors of Correctional Officers",55900,169.393939393939,62220.0
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",27670,83.8484848484848,48640.0
"First-Line Supervisors of Firefighting and Prevention Workers",84040,254.666666666667,78230.0
"First-Line Supervisors of Food Preparation and Serving Workers",1169620,3544.30303030303,36570.0
"First-Line Supervisors of Gambling Services Workers",21900,66.3636363636364,49140.0
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",268050,812.272727272727,54850.0
"First-Line Supervisors of Housekeeping and Janitorial Workers",165750,502.272727272727,39630.0
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",122910,372.454545454545,48800.0
"First-Line Supervisors of Material-Moving Machine and Vehicle Operators",536100,1624.54545454545,54850.0
"First-Line Supervisors of Mechanics, Installers, and Repairers",559050,1694.09090909091,71260.0
"First-Line Supervisors of Non-Retail Sales Workers",237520,719.757575757576,79680.0
"First-Line Supervisors of Office and Administrative Support Workers",1495440,4531.63636363636,60590.0
"First-Line Supervisors of Personal Service Workers",104480,316.606060606061,40390.0
"First-Line Supervisors of Police and Detectives",131860,399.575757575758,99330.0
"First-Line Supervisors of Production and Operating Workers",659930,1999.78787878788,61790.0
"First-Line Supervisors of Retail Sales Workers",1097160,3324.72727272727,39230.0
"Fish and Game Wardens",6530,19.7878787878788,60730.0
"Fishing and Hunting Workers",32300,97.8787878787879,29860.0
"Fitness and Wellness Coordinators",4420,13.3939393939394,60360.0
"Flight Attendants",108480,328.727272727273,61640.0
"Floor Layers, Except Carpet, Wood, and Hard Tiles",20710,62.7575757575758,48060.0
"Floor Sanders and Finishers",4270,12.9393939393939,39140.0
"Floral Designers",42840,129.818181818182,29880.0
"Food Batchmakers",166520,504.606060606061,35780.0
"Food Cooking Machine Operators and Tenders",26740,81.030303030303,35890.0
"Food Preparation Workers",904330,2740.39393939394,28780.0
"Food Science Technicians",14350,43.4848484848485,46590.0
"Food Scientists and Technologists",14720,44.6060606060606,78340.0
"Food Servers, Non Restaurant",248870,754.151515151515,28730.0
"Food Service Managers",231100,700.30303030303,59440.0
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",20010,60.6363636363636,35480.0
"Foreign Language and Literature Teachers, Postsecondary",19520,59.1515151515151,77030.0
"Forensic Science Technicians",17590,53.3030303030303,61930.0
"Forest Fire Inspectors and Prevention Specialists",2290,6.93939393939394,42600.0
"Forest and Conservation Technicians",29120,88.2424242424242,39290.0
"Forest and Conservation Workers",6080,18.4242424242424,30550.0
Foresters,9430,28.5757575757576,64110.0
"Forestry and Conservation Science Teachers, Postsecondary",1270,3.84848484848485,82330.0
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",10650,32.2727272727273,44520.0
"Foundry Mold and Coremakers",11330,34.3333333333333,37710.0
"Fraud Examiners, Investigators and Analysts",63510,192.454545454545,73240.0
"Freight Forwarders",46740,141.636363636364,46910.0
"Fuel Cell Engineers",92520,280.363636363636,95300.0
Fundraisers,94630,286.757575757576,60660.0
"Funeral Attendants",32950,99.8484848484848,29230.0
"Funeral Home Managers",13680,41.4545454545455,74000.0
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",15030,45.5454545454545,43710.0
"Furniture Finishers",14990,45.4242424242424,36580.0
"Gambling Cage Workers",11730,35.5454545454545,29360.0
"Gambling Change Persons and Booth Cashiers",18800,56.969696969697,28600.0
"Gambling Dealers",71290,216.030303030303,24960.0
"Gambling Managers",4800,14.5454545454545,76910.0
"Gambling Surveillance Officers and Gambling Investigators",10500,31.8181818181818,35450.0
"Gambling and Sports Book Writers and Runners",7910,23.969696969697,27530.0
"Gas Compressor and Gas Pumping Station Operators",3740,11.3333333333333,70720.0
"Gas Plant Operators",14290,43.3030303030303,77850.0
"Gem and Diamond Workers",13140,39.8181818181818,46640.0
"General Internal Medicine Physicians",67220,203.69696969697,208000.0
"General and Operations Managers",3376680,10232.3636363636,97970.0
"Genetic Counselors",3220,9.75757575757576,80150.0
Geneticists,13825,41.8939393939394,82530.0
"Geodetic Surveyors",23885,72.3787878787879,61600.0
Geographers,1360,4.12121212121212,85220.0
"Geographic Information Systems Technologists and Technicians",83264,252.315151515152,95270.0
"Geography Teachers, Postsecondary",3340,10.1212121212121,81440.0
"Geological Technicians, Except Hydrologic Technicians",9170,27.7878787878788,48310.0
"Geoscientists, Except Hydrologists and Geographers",25230,76.4545454545455,83680.0
"Geothermal Production Managers",35285,106.924242424242,103150.0
"Geothermal Technicians",172980,524.181818181818,42570.0
"Glass Blowers, Molders, Benders, and Finishers",9765,29.5909090909091,37500.0
Glaziers,51630,156.454545454545,47180.0
"Government Property Inspectors and Investigators",51377,155.687878787879,71650.0
"Graders and Sorters, Agricultural Products",23280,70.5454545454545,29630.0
"Graphic Designers",211890,642.090909090909,50710.0
"Grinding and Polishing Workers, Hand",14190,43.0,35670.0
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",73800,223.636363636364,37550.0
"Hairdressers, Hair Stylists, and Cosmetologists",298050,903.181818181818,29670.0
"Hazardous Materials Removal Workers",46780,141.757575757576,46300.0
"Health Education Specialists",56190,170.272727272727,60600.0
"Health Informatics Specialists",252605,765.469696969697,99270.0
"Health Specialties Teachers, Postsecondary",207700,629.393939393939,102720.0
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",10760,32.6060606060606,99040.0
"Healthcare Social Workers",182420,552.787878787879,60840.0
"Hearing Aid Specialists",10080,30.5454545454545,59500.0
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",15600,47.2727272727273,38450.0
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",374770,1135.66666666667,48630.0
"Heavy and Tractor-Trailer Truck Drivers",1984180,6012.66666666667,48310.0
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",17730,53.7272727272727,37870.0
Helpers--Carpenters,24580,74.4848484848485,36690.0
Helpers--Electricians,71000,215.151515151515,36360.0
"Helpers--Extraction Workers",6910,20.9393939393939,37760.0
"Helpers--Installation, Maintenance, and Repair Workers",93650,283.787878787879,33100.0
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",8630,26.1515151515152,33370.0
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",46760,141.69696969697,35720.0
"Helpers--Production Workers",190680,577.818181818182,30000.0
Helpers--Roofers,5790,17.5454545454545,36360.0
"Highway Maintenance Workers",143330,434.333333333333,45880.0
Historians,3120,9.45454545454546,63940.0
"History Teachers, Postsecondary",18250,55.3030303030303,78130.0
"Hoist and Winch Operators",2440,7.39393939393939,52300.0
"Home Appliance Repairers",29370,89.0,44320.0
"Home Health Aides",3470700,10517.2727272727,29430.0
Hospitalists,50876,154.169696969697,208000.0
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",400420,1213.39393939394,24600.0
"Hotel, Motel, and Resort Desk Clerks",243180,736.909090909091,28080.0
"Human Factors Engineers and Ergonomists",80350,243.484848484848,95300.0
"Human Resources Assistants, Except Payroll and Timekeeping",103680,314.181818181818,45630.0
"Human Resources Managers",181360,549.575757575758,126230.0
"Human Resources Specialists",835360,2531.39393939394,62290.0
"Hydroelectric Plant Technicians",10530,31.9090909090909,80850.0
"Hydroelectric Production Managers",35285,106.924242424242,103150.0
Hydrologists,6270,19.0,84030.0
"Industrial Ecologists",19317,58.5363636363636,76530.0
"Industrial Engineering Technologists and Technicians",33280,100.848484848485,60220.0
"Industrial Engineers",80350,243.484848484848,95300.0
"Industrial Machinery Mechanics",386120,1170.06060606061,59840.0
"Industrial Production Managers",35285,106.924242424242,103150.0
"Industrial Truck and Tractor Operators",780890,2366.33333333333,38380.0
"Industrial-Organizational Psychologists",1280,3.87878787878788,105310.0
"Information Security Analysts",163690,496.030303030303,102600.0
"Information Technology Project Managers",83264,252.315151515152,95270.0
"Inspectors, Testers, Sorters, Samplers, and Weighers",579740,1756.78787878788,38580.0
"Instructional Coordinators",198660,602.0,63740.0
"Insulation Workers, Floor, Ceiling, and Wall",33130,100.393939393939,39880.0
"Insulation Workers, Mechanical",25660,77.7575757575758,48260.0
"Insurance Appraisers, Auto Damage",11430,34.6363636363636,62680.0
"Insurance Claims and Policy Processing Clerks",227580,689.636363636364,45520.0
"Insurance Sales Agents",445540,1350.12121212121,49840.0
"Insurance Underwriters",105900,320.909090909091,76390.0
"Intelligence Analysts",35800,108.484848484848,83640.0
"Interior Designers",64290,194.818181818182,60340.0
"Interpreters and Translators",52160,158.060606060606,49110.0
"Interviewers, Except Eligibility and Loan",168680,511.151515151515,37220.0
"Investment Fund Managers",246926,748.260606060606,131710.0
